Trek_Name,Trek_Duration,Trek_Amount,Trek_Level,Trek_URL
Nag Tibba Summer Hike,2 Days,Rs. 3350 ,Easy,https://www.bikatadventures.com//Home/Itinerary/nag-tibba-trekking
Parang La Trek,12 Days,Rs. 55000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/parang-la-trek
Patalsu Peak Trek,4 Days,Rs. 10300 ,Easy,https://www.bikatadventures.com//Home/Itinerary/Patalsu-Peak-Trek
Pin Bhaba Pass Trek,8 Days,Rs. 16900 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Pin-Bhaba-Pass-Trek
Pin Parvati Pass Trek,12 Days,Rs. 55000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Pin-parwati-pass-trek
Roopkund Trek,8 Days,Rs. 12650 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Roopkund-Trek
Rupin Pass Trek,8 Days,Rs. 15900 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/rupin-pass-trek
Sar Pass Trek,5 Days,Rs. 9950 ,Easy,https://www.bikatadventures.com//Home/Itinerary/Sar-Pass-Trek
Stok Kangri Trek,9 Days,Rs. 21700 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/stok-kangri-trek
Tarsar Marsar Trek,7 Days,Rs. 14950 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/tarsar-marsar-trek
Tawang Bum La Cycling Expedition,11 Days,Rs. 55000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Guwahati-Tawang-Bam-La-Cycling
Tirthan Valley Cycle Ride,2 Days,Rs. 5200 ,Easy,https://www.bikatadventures.com//Home/Itinerary/tirthan-valley-cycling
Tirthan Valley Trek,3 Days,Rs. 12000 ,Easy,https://www.bikatadventures.com//Home/Itinerary/Tirthan-Valley-Trek
Vasuki Tal Trek,9 Days,Rs. 29900 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/gangotri-tapovan-vasuki-tal-trek
Mt. Black Peak,16 Days,Rs. 85000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/Black-Peak-Expedition
Kalindi Khal Expedition,15 Days,Rs. 120000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/kalindi-khal-trek
Kang La ( Pass ) Trek,12 Days,Rs. 84000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Kang-La-Trek
Mentok Kangri II Expedition,11 Days,Rs. 55400 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Mentok-Kangri-Expedition
Mt. Deo Tibba Peak,15 Days,Rs. 65000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/deo-tibba-peak
Mt. Nun Peak,23 Days,Rs. 220000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/Mount-Nun-Expedition
Panpatia Col Trek,12 Days,Rs. 95000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Panpatia-Col-Trek
Mt Satopanth Expedition,20 Days,Rs. 223000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/Mt-Satopanth-Peak-Expedition
Mt. Kun Peak,23 Days,Rs. 220000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/Mount-Kun-Expedition
Rumtse to Tso Moriri Lake Trek,11 Days,Rs. 53300 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/rumtse-to-tso-moriri-lake-trek
Kalavantin Durg Trek,2 Days,Rs. DIY ,Easy,https://www.bikatadventures.com//Home/Itinerary/kalavantin-durg-trek
Kalsubai Trek,2 Days,Rs. DIY ,Easy,https://www.bikatadventures.com//Home/Itinerary/kalsubai-trek
Rajgad fort Trek,2 Days,Rs. DIY ,Easy,https://www.bikatadventures.com//Home/Itinerary/rajgad-fort-trek
Rajmachi Fort Trek,2 Days,Rs. DIY ,Easy,https://www.bikatadventures.com//Home/Itinerary/rajmachi-fort-trek
Harishchandragad Trek,2 Days,Rs. 2500 ,Easy,https://www.bikatadventures.com//Home/Itinerary/harishchandragad-trek
Mt. Nanda Ghunti,16 Days,Rs. 150000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/nanda-ghunti-peak-expedition
Mt. Kedar Dome,20 Days,Rs. 190000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/kedar-dome-expedition
Mt. Shivling ,21 Days,Rs. 220000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/mount-shivling-expedition
Mt. Bhagirathi 2,20 Days,Rs. 180000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/mt-bhagirathi-2-expedition
Bandarpunch Peak,17 Days,Rs. 180000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/bandarpunch-peak-expedition
Mt. CB 13 and CB 14 Expedition,16 Days,Rs. 85000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/Mt-CB-13-and-CB-14-expedition
Kang Yatse I Peak,14 Days,Rs. 89500 ,Pro,https://www.bikatadventures.com//Home/Itinerary/kang-yatse-1-peak
Arwa Tower Peak Expedition,29 Days,Rs. 250000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/arwa-tower-peak-expedition
Gangotri III Peak,15 Days,Rs. 161000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/gangotri-III-peak-expedition
Alang Madan Kulang Trek,3 Days,Rs. 3500 ,Easy,https://www.bikatadventures.com//Home/Itinerary/alang-madan-kulang-trek
Indrahar Pass Trek,4 Days,Rs. 8800 ,Easy,https://www.bikatadventures.com//Home/Itinerary/Indrahar-pass-trek
Phulara Ridge Trek,6 Days,Rs. 9450 ,Easy,https://www.bikatadventures.com//Home/Itinerary/phulara-ridge-trek
Jagatsukh Peak Trek,8 Days,Rs. 34950 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/jagatsukh-peak-expedition
Kodachadri Trek,3 Days,Rs. 3399 ,Easy,https://www.bikatadventures.com//Home/Itinerary/kodachadri-trek
Goechala Trek,10 Days,Rs. 18900 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/goechala-trek
Bali Pass Trek,9 Days,Rs. 19900 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/bali-pass-trek
Dzo Jongo (West) Peak with Markha Valley,12 Days,Rs. 48500 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/dzo-jongo-trek-ladakh
Kashmir Great Lakes Trek,8 Days,Rs. 16950 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/kashmir-great-lakes-trek
Sham Valley Trek,5 Days,Rs. 12850 ,Easy,https://www.bikatadventures.com//Home/Itinerary/sham-valley-trek
Mukta Top Trek,6 Days,Rs. 9600 ,Easy,https://www.bikatadventures.com//Home/Itinerary/mukta-top-trek
Khopra Ridge Trek ,10 Days,Rs. 29800 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/khopra-ridge-trek-nepal
Everest Base Camp Trek ,14 Days,Rs. 59000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Everest-Base-Camp-Trek
Dodital Darwa Pass Trek,5 Days,Rs. 11600 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/dodital-Trek
Chadar - The Frozen River Trek,9 Days,Rs. 25500 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/chadar-trek
Goechala Trek,10 Days,Rs. 18900 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/goechala-trek
Har ki Dun Trek,7 Days,Rs. 9400 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Har-Ki-Dun-Trek
Pangarchulla Peak Trek,6 Days,Rs. 12500 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/pangarchulla-peak-trek
Snow Leopard Trek - Ladakh,10 Days,Rs. 45000 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/snow-leopard-trek-ladakh
Annapurna Base Camp Trek,9 Days,Rs. 29500 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Annapurna-Base-Camp-Trek
Snow Leopard Trek - Spiti,9 Days,Rs. 39000 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/snow-leopard-trek-spiti
Panwali Kantha Trek,5 Days,Rs. 8500 ,Easy,https://www.bikatadventures.com//Home/Itinerary/Panwali-kantha-trek
Khopra Ridge Trek ,10 Days,Rs. 29800 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/khopra-ridge-trek-nepal
Sumda Chey Winter Trek,9 days,Rs. 24500 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/sumda-chey-winter-trek
Basic Skiing Course - Gulmarg,10 Days,Rs. 33000 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Ski-Course-Gulmarg
Intermediate Skiing Course - Gulmarg,10 Days,Rs. 39000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/intermediate-skiing-course-gulmarg
Advance Skiing Course - Gulmarg,10 Days,Rs. 39500 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/advance-skiing-course-gulmarg
Everest Base Camp Trek ,14 Days,Rs. 59000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Everest-Base-Camp-Trek
Everest Base Camp with Gokyo Ri and Gokyo Lakes,17 Days,Rs. 75000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Everest-Base-Camp-Gokyo-Ri-Trek
Annapurna Circuit Trek with Tilicho Lake,15 Days,Rs. 62000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Annapurna-Circuit-Trek
Brahmatal Trek ,6 Days,Rs. 8900 ,Easy,https://www.bikatadventures.com//Home/Itinerary/brahmatal-trek
Dayara Bugyal Trek,5 Days,Rs. 8000 ,Easy,https://www.bikatadventures.com//Home/Itinerary/Dayara-Bugyal-Trek
Kedarkantha Trek,5 Days,Rs. 8900 ,Easy,https://www.bikatadventures.com//Home/Itinerary/kedarkantha-trek
Kuari Pass Trek,5 Days,Rs. 8900 ,Easy,https://www.bikatadventures.com//Home/Itinerary/Kuari-pass-trek
Markha Valley Winter Trek,10 Days,Rs. 25300 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Markha-Valley-Winter-Trek
Spiti Winter Homestay Trail,9 Days,Rs. 34850 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Spiti-Winter-Homestay-Trail
Nag Tibba Trek,3 Days,Rs. 3950 ,Easy,https://www.bikatadventures.com//Home/Itinerary/Nag-Tibba-Trek
Dodital Darwa Pass Trek,5 Days,Rs. 11600 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/dodital-Trek
Sandakphu Trek,7 Days,Rs. 13200 ,Easy,https://www.bikatadventures.com//Home/Itinerary/sandakphu-trek
Deoriatal Chandrashila Trek,6 Days,Rs. 10200 ,Easy,https://www.bikatadventures.com//Home/Itinerary/Chopta-chandrashila-trek
Ali Bedni Bugyal Trek,6 Days,Rs. 9500 ,Easy,https://www.bikatadventures.com//Home/Itinerary/ali-bedni-bugyal-trek
Miyar Valley Trek,8 Days,Rs. 15900 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Miyar-Valley-Trek
Rumtse to Tso Moriri Lake Trek,11 Days,Rs. 53300 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/rumtse-to-tso-moriri-lake-trek
Baraadsar Lake Trek,8 Days,Rs. 16400 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/baraadsar-lake-trek
Dev Kyara Trek,7 Days,Rs. 13700 ,Easy,https://www.bikatadventures.com//Home/Itinerary/dev-kyara-trek
Kalihani Pass Trek,8 Days,Rs. 19400 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Kalihani-Pass-Trek
Digar La with Nubra and Pangong Tso,8 Days,Rs. 35000 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Digar-La-Nubra-Pangong
Ghepan Ghat Lake Trek,5 Days,Rs. 11700 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Ghepan-Ghat-Lake-Trek
Phulara Ridge Trek,6 Days,Rs. 9450 ,Easy,https://www.bikatadventures.com//Home/Itinerary/phulara-ridge-trek
Sham Valley Trek,5 Days,Rs. 12850 ,Easy,https://www.bikatadventures.com//Home/Itinerary/sham-valley-trek
Khopra Ridge Trek ,10 Days,Rs. 29800 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/khopra-ridge-trek-nepal
Jagatsukh Peak Trek,8 Days,Rs. 34950 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/jagatsukh-peak-expedition
Bara Bhangal Trek,11 Days,Rs. 50000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/bara-bhangal-trek
Deo Tibba Base Camp Trek,6 Days,Rs. 14500 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/deo-tibba-base-camp-trek
Parang La Trek,12 Days,Rs. 55000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/parang-la-trek
Pin Parvati Pass Trek,12 Days,Rs. 55000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Pin-parwati-pass-trek
Warwan Valley Trek,9 Days,Rs. 38000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/warwan-valley-kashmir-trek
Dzo Jongo (West) Peak with Markha Valley,12 Days,Rs. 48500 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/dzo-jongo-trek-ladakh
Kang La ( Pass ) Trek,12 Days,Rs. 84000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Kang-La-Trek
Annapurna Circuit Trek with Tilicho Lake,15 Days,Rs. 62000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Annapurna-Circuit-Trek
Auden's Col  Expedition,16 Days,Rs. 120000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Audens-col-trek
Borasu Pass Trek,9 Days,Rs. 29200 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/borasu-pass-trek
Mukta Top Trek,6 Days,Rs. 9600 ,Easy,https://www.bikatadventures.com//Home/Itinerary/mukta-top-trek
Kalindi Khal Expedition,15 Days,Rs. 120000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/kalindi-khal-trek
Vasuki Tal Trek,9 Days,Rs. 29900 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/gangotri-tapovan-vasuki-tal-trek
Markha Valley Winter Trek,10 Days,Rs. 25300 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Markha-Valley-Winter-Trek
Spiti Winter Homestay Trail,9 Days,Rs. 34850 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Spiti-Winter-Homestay-Trail
Arwa Tower Peak Expedition,29 Days,Rs. 250000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/arwa-tower-peak-expedition
Auden's Col  Expedition,16 Days,Rs. 120000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Audens-col-trek
Bandarpunch Peak,17 Days,Rs. 180000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/bandarpunch-peak-expedition
Mt. Black Peak,16 Days,Rs. 85000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/Black-Peak-Expedition
Kang La ( Pass ) Trek,12 Days,Rs. 84000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Kang-La-Trek
Panpatia Col Trek,12 Days,Rs. 95000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Panpatia-Col-Trek
Mentok Kangri II Expedition,11 Days,Rs. 55400 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Mentok-Kangri-Expedition
Friendship Peak Expedition,8 Days,Rs. 34400 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/friendship-peak-expedition
Mt. Deo Tibba Peak,15 Days,Rs. 65000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/deo-tibba-peak
Kalindi Khal Expedition,15 Days,Rs. 120000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/kalindi-khal-trek
Gangotri III Peak,15 Days,Rs. 161000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/gangotri-III-peak-expedition
Kang Yatse I Peak,14 Days,Rs. 89500 ,Pro,https://www.bikatadventures.com//Home/Itinerary/kang-yatse-1-peak
Manali Khardung La Cycle Expedition,12 Days,Rs. 35200 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Manali-Leh-Cycle-Expedition
Mt. Kun Peak,23 Days,Rs. 220000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/Mount-Kun-Expedition
Mt. Kedar Dome,20 Days,Rs. 190000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/kedar-dome-expedition
Mt. Nun Peak,23 Days,Rs. 220000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/Mount-Nun-Expedition
Mt. Shivling ,21 Days,Rs. 220000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/mount-shivling-expedition
Mt. Bhagirathi 2,20 Days,Rs. 180000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/mt-bhagirathi-2-expedition
Mt. Nanda Ghunti,16 Days,Rs. 150000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/nanda-ghunti-peak-expedition
Mt. CB 13 and CB 14 Expedition,16 Days,Rs. 85000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/Mt-CB-13-and-CB-14-expedition
Mt Satopanth Expedition,20 Days,Rs. 223000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/Mt-Satopanth-Peak-Expedition
Mt. Hanuman Tibba Expedition,13 Days,Rs. 65000 ,Pro,https://www.bikatadventures.com//Home/Itinerary/mount-hanuman-tibba-expedition
